"Latest: Time (s)";"Latest: Potential 1 (V)";"Latest: Potential 2 (V)"
0;4,96921539307;2,26097106934
0,001;4,96921539307;2,26402282715
0,002;4,96006011963;2,26097106934
0,003;4,95700836182;2,26402282715
0,004;4,96921539307;2,25791931152
0,005;4,96616363525;2,26097106934
0,006;4,96006011963;2,26097106934
0,007;4,95700836182;2,26097106934
0,008;4,96616363525;2,26402282715
0,009;4,96921539307;2,26097106934
0,01;4,96921539307;2,26707458496
0,011;4,96921539307;2,26097106934
0,012;4,96921539307;2,26402282715
0,013;4,96921539307;2,26097106934
0,014;4,96616363525;2,26097106934
0,015;4,96921539307;2,26097106934
0,016;4,96921539307;2,25791931152
0,017;4,96616363525;2,26402282715
0,018;4,96921539307;2,26707458496
0,019;4,96921539307;2,26097106934
0,02;4,96006011963;2,26097106934
0,021;4,96006011963;2,26402282715
0,022;4,96921539307;2,26097106934
0,023;4,96616363525;2,26402282715
0,024;4,96921539307;2,25486755371
0,025;4,96921539307;2,25791931152
0,026;4,96921539307;2,26097106934
0,027;4,96616363525;2,26402282715
0,028;4,96616363525;2,26402282715
0,029;4,96006011963;2,26097106934
0,03;4,96006011963;2,26097106934
0,031;4,96921539307;2,26402282715
0,032;4,96921539307;2,26097106934
0,033;4,96616363525;2,26707458496
0,034;4,96921539307;2,26707458496
0,035;4,96616363525;2,26097106934
0,036;4,96311187744;2,26402282715
0,037;4,96921539307;2,26097106934
0,038;4,96921539307;2,25486755371
0,039;4,96616363525;2,26097106934
0,04;4,96921539307;2,26402282715
0,041;4,96921539307;2,26097106934
0,042;4,96006011963;2,26097106934
0,043;4,96616363525;2,26402282715
0,044;4,95700836182;2,26097106934
0,045;4,96616363525;2,25791931152
0,046;4,96921539307;2,26707458496
0,047;4,97226715088;2,2518157959
0,048;4,96616363525;2,25791931152
0,049;4,96921539307;2,26707458496
0,05;4,96921539307;2,26402282715
0,051;4,96311187744;2,26097106934
0,052;4,96006011963;2,26402282715
0,053;4,95700836182;2,26097106934
0,054;4,96616363525;2,26097106934
0,055;4,96616363525;2,27012634277
0,056;4,96921539307;2,25486755371
0,057;4,96921539307;2,26097106934
0,058;4,96616363525;2,26402282715
0,059;4,96921539307;2,26402282715
0,06;4,96006011963;2,26097106934
0,061;4,96006011963;2,26097106934
0,062;4,96921539307;2,26402282715
0,063;4,96921539307;2,26097106934
0,064;4,96921539307;2,25486755371
0,065;4,96616363525;2,26402282715
0,066;4,97226715088;2,26097106934
0,067;4,96616363525;2,26097106934
0,068;4,96616363525;2,26402282715
0,069;4,96006011963;2,26402282715
0,07;4,96311187744;2,26097106934
0,071;4,96616363525;2,26097106934
0,072;4,96921539307;2,26097106934
0,073;4,96921539307;2,25486755371
0,074;4,96616363525;2,26097106934
0,075;4,96921539307;2,26707458496
0,076;4,96921539307;2,26097106934
0,077;4,95700836182;2,26097106934
0,078;4,96616363525;2,26402282715
0,079;4,96311187744;2,26097106934
0,08;4,96616363525;2,26097106934
0,081;4,96921539307;2,26402282715
0,082;4,96921539307;2,25791931152
0,083;4,96921539307;2,26097106934
0,084;4,96616363525;2,26402282715
0,085;4,96921539307;2,26097106934
0,086;4,96006011963;2,26097106934
0,087;4,96311187744;2,26097106934
0,088;4,96006011963;2,26402282715
0,089;4,96921539307;2,26097106934
0,09;4,96921539307;2,26402282715
0,091;4,96921539307;2,25791931152
0,092;4,96921539307;2,26097106934
0,093;4,96616363525;2,26097106934
0,094;4,96616363525;2,26402282715
0,095;4,96006011963;2,26707458496
0,096;4,96006011963;2,26097106934
0,097;4,96616363525;2,26097106934
0,098;4,96921539307;2,26707458496
0,099;4,96921539307;2,24876403809
0,1;4,96616363525;2,26097106934
0,101;4,96921539307;2,26707458496
0,102;4,96921539307;2,26097106934
0,103;4,95700836182;2,26097106934
0,104;4,96616363525;2,26402282715
0,105;4,96006011963;2,25791931152
0,106;4,96616363525;2,25791931152
0,107;4,96921539307;2,27012634277
0,108;4,96921539307;2,24876403809
0,109;4,96616363525;2,26097106934
0,11;4,96921539307;2,26707458496
0,111;4,96921539307;2,26097106934
0,112;4,95700836182;2,26097106934
0,113;4,96616363525;2,26402282715
0,114;4,96006011963;2,25791931152
0,115;4,96616363525;2,25791931152
0,116;4,96921539307;2,26097106934
0,117;4,96921539307;2,26097106934
0,118;4,96616363525;2,26097106934
0,119;4,96921539307;2,26402282715
0,12;4,96616363525;2,26402282715
0,121;4,96616363525;2,26097106934
0,122;4,95700836182;2,25791931152
0,123;4,96921539307;2,26097106934
0,124;4,96921539307;2,26707458496
0,125;4,96616363525;2,2518157959
0,126;4,96921539307;2,26097106934
0,127;4,96921539307;2,26097106934
0,128;4,96921539307;2,26402282715
0,129;4,96616363525;2,26402282715
0,13;4,96616363525;2,26097106934
0,131;4,95700836182;2,26097106934
0,132;4,96616363525;2,26097106934
0,133;4,96921539307;2,26402282715
0,134;4,96616363525;2,24876403809
0,135;4,96616363525;2,26097106934
0,136;4,96921539307;2,26402282715
0,137;4,96616363525;2,26097106934
0,138;4,95700836182;2,26402282715
0,139;4,96311187744;2,26097106934
0,14;4,96921539307;2,26097106934
0,141;4,96921539307;2,26402282715
0,142;4,96921539307;2,25791931152
0,143;4,96921539307;2,25791931152
0,144;4,96921539307;2,26402282715
0,145;4,96921539307;2,26402282715
0,146;4,96921539307;2,26097106934
0,147;4,95700836182;2,26097106934
0,148;4,96006011963;2,26402282715
0,149;4,96921539307;2,26097106934
0,15;4,96616363525;2,26097106934
0,151;4,96921539307;2,25791931152
0,152;4,96921539307;2,26097106934
0,153;4,96921539307;2,26097106934
0,154;4,96616363525;2,26402282715
0,155;4,96311187744;2,26402282715
0,156;4,96921539307;2,26097106934
0,157;4,95700836182;2,26097106934
0,158;4,96616363525;2,26097106934
0,159;4,97226715088;2,26097106934
0,16;4,96616363525;2,26097106934
0,161;4,96921539307;2,26707458496
0,162;4,96921539307;2,26097106934
0,163;4,96616363525;2,26097106934
0,164;4,95700836182;2,26402282715
0,165;4,96616363525;2,26097106934
0,166;4,96921539307;2,25791931152
0,167;4,96616363525;2,26097106934
0,168;4,96921539307;2,26402282715
0,169;4,96921539307;2,25791931152
0,17;4,96921539307;2,26097106934
0,171;4,96616363525;2,26402282715
0,172;4,96921539307;2,26097106934
0,173;4,95700836182;2,26097106934
0,174;4,96006011963;2,26097106934
0,175;4,96921539307;2,26402282715
0,176;4,96921539307;2,26707458496
0,177;4,96921539307;2,2518157959
0,178;4,96921539307;2,26097106934
0,179;4,96921539307;2,26097106934
0,18;4,96921539307;2,26097106934
0,181;4,95700836182;2,26402282715
0,182;4,96921539307;2,26097106934
0,183;4,96311187744;2,26097106934
0,184;4,96616363525;2,26097106934
0,185;4,96921539307;2,26707458496
0,186;4,96921539307;2,2518157959
0,187;4,96616363525;2,26097106934
0,188;4,96616363525;2,26707458496
0,189;4,97226715088;2,26097106934
0,19;4,95700836182;2,26097106934
0,191;4,96616363525;2,26402282715
0,192;4,96311187744;2,26097106934
0,193;4,96921539307;2,25791931152
0,194;4,96921539307;2,26402282715
0,195;4,96921539307;2,26402282715
0,196;4,96921539307;2,26097106934
0,197;4,96616363525;2,26097106934
0,198;4,96311187744;2,26402282715
0,199;4,96921539307;2,26097106934
0,2;4,95700836182;2,26097106934
0,201;4,96616363525;2,26097106934
0,202;4,96921539307;2,27012634277
0,203;4,96921539307;2,24876403809
0,204;4,96616363525;2,26097106934
0,205;4,96921539307;2,26707458496
0,206;4,97226715088;2,26097106934
0,207;4,96006011963;2,26097106934
0,208;4,96616363525;2,26402282715
0,209;4,96006011963;2,26097106934
0,21;4,96616363525;2,26097106934
0,211;4,96616363525;2,26707458496
0,212;4,96921539307;2,2518157959
0,213;4,96921539307;2,26097106934
0,214;4,96616363525;2,26402282715
0,215;4,96921539307;2,26707458496
0,216;4,96006011963;2,26097106934
0,217;4,96311187744;2,26097106934
0,218;4,96921539307;2,26097106934
0,219;4,96921539307;2,26402282715
0,22;4,96921539307;2,2518157959
0,221;4,96616363525;2,26097106934
0,222;4,96921539307;2,26707458496
0,223;4,97226715088;2,26097106934
0,224;4,96311187744;2,26097106934
0,225;4,96311187744;2,26402282715
0,226;4,96006011963;2,26097106934
0,227;4,96921539307;2,25791931152
0,228;4,96921539307;2,26402282715
0,229;4,96921539307;2,26097106934
0,23;4,96921539307;2,26097106934
0,231;4,96921539307;2,26097106934
0,232;4,96616363525;2,26402282715
0,233;4,96616363525;2,26097106934
0,234;4,96616363525;2,26097106934
0,235;4,95414733887;2,26097106934
0,236;4,96616363525;2,26402282715
0,237;4,97226715088;2,26707458496
0,238;4,96921539307;2,25791931152
0,239;4,96921539307;2,26402282715
0,24;4,96921539307;2,26707458496
0,241;4,96921539307;2,26097106934
0,242;4,95700836182;2,26402282715
0,243;4,96006011963;2,26402282715
0,244;4,96921539307;2,26097106934
0,245;4,96921539307;2,26097106934
0,246;4,96921539307;2,26097106934
0,247;4,96921539307;2,26402282715
0,248;4,96921539307;2,26097106934
0,249;4,96616363525;2,26402282715
0,25;4,96616363525;2,26402282715
0,251;4,96006011963;2,26097106934
0,252;4,96311187744;2,26097106934
0,253;4,96616363525;2,26097106934
0,254;4,96921539307;2,26402282715
0,255;4,96921539307;2,2518157959
0,256;4,96311187744;2,26097106934
0,257;4,96921539307;2,26707458496
0,258;4,96921539307;2,26097106934
0,259;4,95700836182;2,26402282715
0,26;4,96616363525;2,26402282715
0,261;4,96616363525;2,26097106934
0,262;4,96616363525;2,26097106934
0,263;4,96616363525;2,26402282715
0,264;4,96921539307;2,25791931152
0,265;4,96921539307;2,26097106934
0,266;4,96616363525;2,26402282715
0,267;4,96921539307;2,26402282715
0,268;4,96006011963;2,26097106934
0,269;4,96616363525;2,26097106934
0,27;4,96006011963;2,26402282715
0,271;4,96921539307;2,26097106934
0,272;4,96616363525;2,26097106934
0,273;4,96921539307;2,25791931152
0,274;4,96921539307;2,26097106934
0,275;4,96921539307;2,26097106934
0,276;4,96616363525;2,26097106934
0,277;4,96006011963;2,26707458496
0,278;4,95700836182;2,26097106934
0,279;4,96616363525;2,25791931152
0,28;4,96921539307;2,27012634277
0,281;4,97226715088;2,2518157959
0,282;4,96616363525;2,26097106934
0,283;4,96921539307;2,26707458496
0,284;4,97226715088;2,26097106934
0,285;4,96006011963;2,26097106934
0,286;4,96616363525;2,26097106934
0,287;4,95700836182;2,26402282715
0,288;4,96921539307;2,25791931152
0,289;4,96616363525;2,26707458496
0,29;4,96921539307;2,25791931152
0,291;4,96921539307;2,25791931152
0,292;4,96616363525;2,26097106934
0,293;4,96616363525;2,26402282715
0,294;4,96006011963;2,26097106934
0,295;4,96616363525;2,26097106934
0,296;4,96616363525;2,26097106934
0,297;4,96921539307;2,26402282715
0,298;4,96921539307;2,2518157959
0,299;4,96616363525;2,26097106934
0,3;4,96921539307;2,26707458496
0,301;4,97226715088;2,26097106934
0,302;4,96006011963;2,26097106934
0,303;4,96616363525;2,26402282715
0,304;4,96006011963;2,26097106934
0,305;4,96921539307;2,26097106934
0,306;4,96616363525;2,26707458496
0,307;4,96921539307;2,25486755371
0,308;4,96921539307;2,26097106934
0,309;4,96921539307;2,26402282715
0,31;4,96921539307;2,26707458496
0,311;4,96921539307;2,26097106934
0,312;4,96311187744;2,26097106934
0,313;4,95700836182;2,26097106934
0,314;4,96921539307;2,26097106934
0,315;4,96921539307;2,26402282715
0,316;4,96616363525;2,25486755371
0,317;4,96921539307;2,26707458496
0,318;4,96921539307;2,26097106934
0,319;4,96616363525;2,26097106934
0,32;4,96006011963;2,26707458496
0,321;4,96311187744;2,26097106934
0,322;4,96921539307;2,26097106934
0,323;4,96616363525;2,26402282715
0,324;4,96921539307;2,25791931152
0,325;4,96921539307;2,25791931152
0,326;4,96921539307;2,26097106934
0,327;4,96921539307;2,26707458496
0,328;4,96921539307;2,26097106934
0,329;4,95700836182;2,26097106934
0,33;4,96311187744;2,26097106934
0,331;4,96921539307;2,26097106934
0,332;4,96921539307;2,26097106934
0,333;4,96616363525;2,26707458496
0,334;4,96921539307;2,25791931152
0,335;4,96921539307;2,26097106934
0,336;4,96616363525;2,26402282715
0,337;4,96616363525;2,26402282715
0,338;4,96006011963;2,26402282715
0,339;4,95700836182;2,26097106934
0,34;4,96921539307;2,26097106934
0,341;4,96921539307;2,26707458496
0,342;4,96921539307;2,2518157959
0,343;4,96616363525;2,25791931152
0,344;4,96921539307;2,26707458496
0,345;4,96921539307;2,26097106934
0,346;4,96311187744;2,26097106934
0,347;4,96311187744;2,26402282715
0,348;4,96006011963;2,26097106934
0,349;4,96921539307;2,26097106934
0,35;4,96616363525;2,26402282715
0,351;4,96921539307;2,25791931152
0,352;4,96921539307;2,25791931152
0,353;4,96616363525;2,26097106934
0,354;4,96921539307;2,26707458496
0,355;4,96311187744;2,26097106934
0,356;4,96616363525;2,26097106934
0,357;4,96006011963;2,26097106934
0,358;4,96921539307;2,26402282715
0,359;4,96921539307;2,26097106934
0,36;4,96616363525;2,26097106934
0,361;4,96921539307;2,26707458496
0,362;4,96921539307;2,26707458496
0,363;4,96616363525;2,26097106934
0,364;4,95700836182;2,26402282715
0,365;4,96311187744;2,26097106934
0,366;4,96921539307;2,26097106934
0,367;4,96616363525;2,26097106934
0,368;4,96921539307;2,26402282715
0,369;4,96921539307;2,25791931152
0,37;4,96921539307;2,26097106934
0,371;4,96616363525;2,26402282715
0,372;4,96921539307;2,26402282715
0,373;4,96006011963;2,26097106934
0,374;4,95700836182;2,26097106934
0,375;4,96616363525;2,26097106934
0,376;4,97226715088;2,26707458496
0,377;4,96921539307;2,24876403809
0,378;4,96616363525;2,26097106934
0,379;4,96921539307;2,26707458496
0,38;4,96921539307;2,26097106934
0,381;4,95700836182;2,26097106934
0,382;4,96616363525;2,26402282715
0,383;4,96921539307;2,26097106934
0,384;4,96921539307;2,25791931152
0,385;4,96616363525;2,26402282715
0,386;4,96921539307;2,25791931152
0,387;4,96921539307;2,26097106934
0,388;4,96616363525;2,26402282715
0,389;4,96921539307;2,26707458496
0,39;4,96006011963;2,26097106934
0,391;4,96616363525;2,26097106934
0,392;4,96006011963;2,26097106934
0,393;4,96921539307;2,26097106934
0,394;4,96921539307;2,26097106934
0,395;4,96616363525;2,26402282715
0,396;4,96921539307;2,26707458496
0,397;4,96921539307;2,26097106934
0,398;4,96311187744;2,26097106934
0,399;4,96616363525;2,26402282715
0,4;4,95700836182;2,26097106934
0,401;4,96921539307;2,26097106934
0,402;4,96616363525;2,26707458496
0,403;4,96921539307;2,25791931152
0,404;4,96921539307;2,25486755371
0,405;4,96921539307;2,26097106934
0,406;4,96921539307;2,26402282715
0,407;4,96616363525;2,26097106934
0,408;4,96616363525;2,26097106934
0,409;4,95700836182;2,26097106934
0,41;4,96921539307;2,26097106934
0,411;4,96921539307;2,26707458496
0,412;4,96616363525;2,2518157959
0,413;4,96616363525;2,26097106934
0,414;4,96921539307;2,26097106934
0,415;4,96921539307;2,26097106934
0,416;4,95700836182;2,26402282715
0,417;4,96616363525;2,26097106934
0,418;4,96921539307;2,26097106934
0,419;4,96616363525;2,26402282715
0,42;4,96921539307;2,25791931152
0,421;4,96921539307;2,25791931152
0,422;4,96616363525;2,26402282715
0,423;4,96921539307;2,26707458496
0,424;4,96616363525;2,26097106934
0,425;4,96311187744;2,26097106934
0,426;4,95700836182;2,26402282715
0,427;4,96921539307;2,26097106934
0,428;4,96921539307;2,26097106934
0,429;4,96921539307;2,25791931152
0,43;4,96921539307;2,26097106934
0,431;4,96921539307;2,26097106934
0,432;4,96616363525;2,26402282715
0,433;4,96616363525;2,26402282715
0,434;4,96616363525;2,26097106934
0,435;4,95700836182;2,26097106934
0,436;4,96616363525;2,26402282715
0,437;4,96921539307;2,26707458496
0,438;4,96616363525;2,25791931152
0,439;4,96921539307;2,26402282715
0,44;4,96921539307;2,26402282715
0,441;4,96921539307;2,26097106934
0,442;4,95700836182;2,26097106934
0,443;4,96311187744;2,26402282715
0,444;4,96921539307;2,26097106934
0,445;4,96616363525;2,26097106934
0,446;4,96921539307;2,26707458496
0,447;4,96921539307;2,25486755371
0,448;4,96921539307;2,26097106934
0,449;4,96921539307;2,26402282715
0,45;4,96921539307;2,26707458496
0,451;4,96006011963;2,26097106934
0,452;4,96616363525;2,26097106934
0,453;4,96006011963;2,26402282715
0,454;4,96921539307;2,25791931152
0,455;4,96921539307;2,26097106934
0,456;4,96616363525;2,26402282715
0,457;4,97226715088;2,26402282715
0,458;4,96921539307;2,26097106934
0,459;4,96311187744;2,26402282715
0,46;4,96616363525;2,26402282715
0,461;4,95700836182;2,26097106934
0,462;4,96616363525;2,26097106934
0,463;4,96921539307;2,27012634277
0,464;4,96921539307;2,24876403809
0,465;4,96616363525;2,25791931152
0,466;4,96921539307;2,26707458496
0,467;4,96921539307;2,26097106934
0,468;4,96311187744;2,26097106934
0,469;4,96006011963;2,26402282715
0,47;4,95700836182;2,26402282715
0,471;4,96921539307;2,25791931152
0,472;4,96616363525;2,26402282715
0,473;4,96921539307;2,25486755371
0,474;4,96921539307;2,26097106934
0,475;4,96921539307;2,26402282715
0,476;4,96921539307;2,26402282715
0,477;4,96006011963;2,26402282715
0,478;4,96006011963;2,26097106934
0,479;4,96921539307;2,26097106934
0,48;4,96921539307;2,26707458496
0,481;4,96921539307;2,26097106934
0,482;4,96616363525;2,26402282715
0,483;4,96921539307;2,26707458496
0,484;4,96921539307;2,26097106934
0,485;4,96616363525;2,26097106934
0,486;4,95700836182;2,26707458496
0,487;4,96921539307;2,26097106934
0,488;4,96311187744;2,26097106934
0,489;4,96616363525;2,26097106934
0,49;4,96921539307;2,26707458496
0,491;4,96921539307;2,25791931152
0,492;4,96616363525;2,26402282715
0,493;4,96616363525;2,26707458496
0,494;4,96921539307;2,26097106934
0,495;4,95700836182;2,26097106934
0,496;4,95700836182;2,26402282715
0,497;4,96921539307;2,26097106934
0,498;4,96921539307;2,26402282715
0,499;4,96921539307;2,25486755371
0,5;4,96921539307;2,26402282715
0,501;4,96921539307;2,26097106934
0,502;4,96616363525;2,26097106934
0,503;4,95700836182;2,26707458496
0,504;4,96921539307;2,26097106934
0,505;4,95700836182;2,26097106934
0,506;4,96616363525;2,26097106934
0,507;4,96921539307;2,26707458496
0,508;4,96921539307;2,2518157959
0,509;4,96616363525;2,26097106934
0,51;4,96921539307;2,26707458496
0,511;4,96921539307;2,26097106934
0,512;4,95700836182;2,26097106934
0,513;4,96311187744;2,26402282715
0,514;4,96616363525;2,26097106934
0,515;4,96616363525;2,26097106934
0,516;4,96921539307;2,26097106934
0,517;4,96921539307;2,26402282715
0,518;4,96921539307;2,26097106934
0,519;4,96921539307;2,26402282715
0,52;4,96616363525;2,26707458496
0,521;4,96616363525;2,26097106934
0,522;4,95700836182;2,26097106934
0,523;4,96616363525;2,26097106934
0,524;4,96921539307;2,26707458496
0,525;4,96921539307;2,2518157959
0,526;4,96616363525;2,26097106934
0,527;4,96921539307;2,26707458496
0,528;4,96921539307;2,26097106934
0,529;4,96616363525;2,26097106934
0,53;4,96006011963;2,26707458496
0,531;4,96311187744;2,26097106934
0,532;4,96921539307;2,26097106934
0,533;4,96616363525;2,26707458496
0,534;4,96921539307;2,25486755371
0,535;4,96921539307;2,25791931152
0,536;4,96921539307;2,26402282715
0,537;4,96921539307;2,26707458496
0,538;4,96006011963;2,26097106934
0,539;4,96311187744;2,26097106934
0,54;4,96616363525;2,26402282715
0,541;4,96921539307;2,26402282715
0,542;4,96921539307;2,25486755371
0,543;4,96616363525;2,26097106934
0,544;4,96921539307;2,26707458496
0,545;4,97226715088;2,26097106934
0,546;4,96616363525;2,26097106934
0,547;4,95700836182;2,26402282715
0,548;4,96616363525;2,26097106934
0,549;4,96616363525;2,26097106934
0,55;4,96616363525;2,26097106934
0,551;4,96921539307;2,26402282715
0,552;4,96921539307;2,25791931152
0,553;4,96921539307;2,26097106934
0,554;4,96616363525;2,26707458496
0,555;4,96616363525;2,26402282715
0,556;4,96616363525;2,26097106934
0,557;4,95414733887;2,25791931152
0,558;4,95700836182;2,26402282715
0,559;4,96921539307;2,26097106934
0,56;4,96921539307;2,26402282715
0,561;4,96921539307;2,25486755371
0,562;4,96921539307;2,26402282715
0,563;4,96921539307;2,26097106934
0,564;4,96921539307;2,26097106934
0,565;4,96006011963;2,26402282715
0,566;4,96921539307;2,26097106934
0,567;4,95700836182;2,25791931152
0,568;4,96616363525;2,26097106934
0,569;4,96921539307;2,27012634277
0,57;4,96921539307;2,24876403809
0,571;4,96616363525;2,26097106934
0,572;4,96921539307;2,26707458496
0,573;4,96921539307;2,26097106934
0,574;4,96006011963;2,26097106934
0,575;4,96616363525;2,26402282715
0,576;4,96311187744;2,26402282715
0,577;4,96921539307;2,25791931152
0,578;4,96616363525;2,26097106934
0,579;4,96616363525;2,26402282715
0,58;4,97226715088;2,26097106934
0,581;4,96616363525;2,26097106934
0,582;4,96616363525;2,26402282715
0,583;4,96311187744;2,26402282715
0,584;4,96006011963;2,26097106934
0,585;4,96616363525;2,26097106934
0,586;4,96921539307;2,26402282715
0,587;4,96921539307;2,26097106934
0,588;4,96616363525;2,25791931152
0,589;4,96921539307;2,26707458496
0,59;4,96921539307;2,26097106934
0,591;4,96616363525;2,26097106934
0,592;4,95700836182;2,26402282715
0,593;4,96311187744;2,26097106934
0,594;4,96921539307;2,26097106934
0,595;4,96616363525;2,27012634277
0,596;4,96921539307;2,25486755371
0,597;4,96921539307;2,26097106934
0,598;4,96616363525;2,26097106934
0,599;4,96921539307;2,26707458496
0,6;4,96006011963;2,26097106934
0,601;4,96616363525;2,26097106934
0,602;4,96311187744;2,26402282715
0,603;4,96921539307;2,26097106934
0,604;4,96921539307;2,26097106934
0,605;4,96616363525;2,25791931152
0,606;4,96921539307;2,26097106934
0,607;4,96921539307;2,26097106934
0,608;4,96616363525;2,26097106934
0,609;4,96006011963;2,26707458496
0,61;4,96921539307;2,26097106934
0,611;4,95700836182;2,26097106934
0,612;4,96616363525;2,26097106934
0,613;4,96921539307;2,26707458496
0,614;4,96921539307;2,2518157959
0,615;4,96616363525;2,26097106934
0,616;4,96921539307;2,26402282715
0,617;4,96921539307;2,26097106934
0,618;4,95700836182;2,26402282715
0,619;4,96006011963;2,26402282715
0,62;4,96921539307;2,26097106934
0,621;4,96616363525;2,26097106934
0,622;4,96921539307;2,26097106934
0,623;4,96921539307;2,26097106934
0,624;4,96616363525;2,26097106934
0,625;4,96616363525;2,26402282715
0,626;4,97226715088;2,26097106934
0,627;4,95700836182;2,26097106934
0,628;4,96616363525;2,26097106934
0,629;4,96616363525;2,26402282715
0,63;4,96921539307;2,25791931152
0,631;4,96616363525;2,26097106934
0,632;4,96921539307;2,26402282715
0,633;4,96921539307;2,26097106934
0,634;4,96616363525;2,26097106934
0,635;4,96616363525;2,26402282715
0,636;4,96616363525;2,26707458496
0,637;4,95700836182;2,26097106934
0,638;4,96616363525;2,26402282715
0,639;4,96921539307;2,26707458496
