"Latest: Time (s)";"Latest: Potential 1 (V)";"Latest: Potential 2 (V)"
0;1,27658843994;4,83856201172
0,001;1,33724212646;4,83245849609
0,002;1,31301879883;4,83245849609
0,003;1,32827758789;4,83856201172
0,004;1,33419036865;4,82940673828
0,005;1,36165618896;4,83551025391
0,006;1,3708114624;4,83551025391
0,007;1,35250091553;4,82940673828
0,008;1,35555267334;4,83245849609
0,009;1,35250091553;4,83551025391
0,01;1,33419036865;4,83551025391
0,011;1,29165649414;4,83551025391
0,012;1,30996704102;4,83551025391
0,013;1,30996704102;4,82635498047
0,014;1,28860473633;4,82635498047
0,015;1,21269226074;4,83856201172
0,016;1,003074646;4,83551025391
0,017;1,00612640381;4,82940673828
0,018;1,05457305908;4,83856201172
0,019;1,10321044922;4,83856201172
0,02;1,25522613525;4,83245849609
0,021;1,33724212646;4,82940673828
0,022;1,32217407227;4,83856201172
0,023;1,32827758789;4,83551025391
0,024;1,33419036865;4,83245849609
0,025;1,36775970459;4,83245849609
0,026;1,3708114624;4,82330322266
0,027;1,35860443115;4,83551025391
0,028;1,36165618896;4,83856201172
0,029;1,35250091553;4,83551025391
0,03;1,32217407227;4,82940673828
0,031;1,28860473633;4,83551025391
0,032;1,31607055664;4,83856201172
0,033;1,30081176758;4,83245849609
0,034;1,28860473633;4,82940673828
0,035;1,21879577637;4,83856201172
0,036;1,0181427002;4,83551025391
0,037;1,00898742676;4,83245849609
0,038;1,06067657471;4,82940673828
0,039;1,10015869141;4,83856201172
0,04;1,26438140869;4,83856201172
0,041;1,33419036865;4,83856201172
0,042;1,31301879883;4,83551025391
0,043;1,32522583008;4,82635498047
0,044;1,33419036865;4,83856201172
0,045;1,3708114624;4,83551025391
0,046;1,36470794678;4,83245849609
0,047;1,35555267334;4,82940673828
0,048;1,35860443115;4,83856201172
0,049;1,35860443115;4,83245849609
0,05;1,32522583008;4,82940673828
0,051;1,28860473633;4,82940673828
0,052;1,31607055664;4,83856201172
0,053;1,3069152832;4,83551025391
0,054;1,29165649414;4,83856201172
0,055;1,21574401855;4,83551025391
0,056;1,01509094238;4,82940673828
0,057;1,003074646;4,83856201172
0,058;1,06678009033;4,83551025391
0,059;1,07898712158;4,83551025391
0,06;1,26132965088;4,82940673828
0,061;1,33419036865;4,83551025391
0,062;1,32522583008;4,82635498047
0,063;1,31301879883;4,83245849609
0,064;1,34029388428;4,83856201172
0,065;1,36165618896;4,83551025391
0,066;1,36775970459;4,83551025391
0,067;1,35250091553;4,83551025391
0,068;1,35860443115;4,82940673828
0,069;1,34944915771;4,82940673828
0,07;1,33419036865;4,83856201172
0,071;1,29776000977;4,83551025391
0,072;1,30386352539;4,83245849609
0,073;1,30996704102;4,83245849609
0,074;1,29165649414;4,83551025391
0,075;1,23100280762;4,82635498047
0,076;1,00612640381;4,83856201172
0,077;1,00612640381;4,83551025391
0,078;1,05457305908;4,83551025391
0,079;1,08203887939;4,83551025391
0,08;1,25522613525;4,83551025391
0,081;1,33724212646;4,82940673828
0,082;1,31912231445;4,83551025391
0,083;1,32522583008;4,83856201172
0,084;1,34334564209;4,83245849609
0,085;1,35860443115;4,83245849609
0,086;1,3708114624;4,82940673828
0,087;1,35555267334;4,82330322266
0,088;1,36165618896;4,83551025391
0,089;1,3463973999;4,83856201172
0,09;1,33419036865;4,83245849609
0,091;1,28860473633;4,83551025391
0,092;1,3069152832;4,83856201172
0,093;1,31301879883;4,83551025391
0,094;1,28269195557;4,82940673828
0,095;1,23100280762;4,83551025391
0,096;1,02119445801;4,83856201172
0,097;1,00612640381;4,83551025391
0,098;1,05171203613;4,83551025391
0,099;1,09119415283;4,82025146484
0,1;1,25217437744;4,83551025391
0,101;1,33419036865;4,83551025391
0,102;1,30996704102;4,83856201172
0,103;1,32827758789;4,82940673828
0,104;1,33419036865;4,83551025391
0,105;1,35860443115;4,83856201172
0,106;1,37386322021;4,83245849609
0,107;1,34944915771;4,83245849609
0,108;1,35860443115;4,82940673828
0,109;1,35860443115;4,83551025391
0,11;1,33419036865;4,83245849609
0,111;1,27964019775;4,82635498047
0,112;1,31912231445;4,83856201172
0,113;1,30996704102;4,83551025391
0,114;1,28860473633;4,83551025391
0,115;1,23710632324;4,83551025391
0,116;1,02424621582;4,83245849609
0,117;0,996971130371;4,83551025391
0,118;1,05457305908;4,83856201172
0,119;1,09119415283;4,83245849609
0,12;1,24607086182;4,83245849609
0,121;1,33724212646;4,82940673828
0,122;1,32217407227;4,82635498047
0,123;1,32522583008;4,83551025391
0,124;1,3313293457;4,83856201172
0,125;1,35860443115;4,82940673828
0,126;1,36470794678;4,83551025391
0,127;1,34944915771;4,83551025391
0,128;1,35860443115;4,83551025391
0,129;1,35250091553;4,82940673828
0,13;1,32827758789;4,83551025391
0,131;1,29776000977;4,83856201172
0,132;1,31607055664;4,83245849609
0,133;1,30386352539;4,83245849609
0,134;1,29165649414;4,82940673828
0,135;1,25217437744;4,82635498047
0,136;1,02119445801;4,83856201172
0,137;0,987815856934;4,83856201172
0,138;1,05457305908;4,82940673828
0,139;1,07593536377;4,83551025391
0,14;1,243019104;4,83856201172
0,141;1,33419036865;4,83551025391
0,142;1,31912231445;4,82940673828
0,143;1,32522583008;4,83856201172
0,144;1,34029388428;4,83856201172
0,145;1,35860443115;4,82940673828
0,146;1,36775970459;4,82940673828
0,147;1,35860443115;4,82635498047
0,148;1,36165618896;4,83551025391
0,149;1,35860443115;4,83856201172
0,15;1,32217407227;4,83856201172
0,151;1,28555297852;4,82940673828
0,152;1,30996704102;4,83551025391
0,153;1,3069152832;4,83856201172
0,154;1,28555297852;4,83551025391
0,155;1,25522613525;4,82940673828
0,156;1,02729797363;4,83551025391
0,157;0,993919372559;4,83856201172
0,158;1,05457305908;4,82940673828
0,159;1,07593536377;4,82635498047
0,16;1,23996734619;4,84161376953
0,161;1,34029388428;4,83551025391
0,162;1,31607055664;4,83856201172
0,163;1,32827758789;4,83856201172
0,164;1,33724212646;4,82940673828
0,165;1,34944915771;4,83551025391
0,166;1,36775970459;4,83245849609
0,167;1,34334564209;4,83551025391
0,168;1,35860443115;4,83245849609
0,169;1,35555267334;4,83551025391
0,17;1,32217407227;4,83551025391
0,171;1,28860473633;4,82635498047
0,172;1,31301879883;4,83551025391
0,173;1,31301879883;4,82635498047
0,174;1,28860473633;4,83551025391
0,175;1,25217437744;4,83856201172
0,176;1,02729797363;4,83551025391
0,177;0,981712341309;4,82940673828
0,178;1,05457305908;4,83856201172
0,179;1,07898712158;4,83551025391
0,18;1,2279510498;4,83245849609
0,181;1,34029388428;4,83245849609
0,182;1,32217407227;4,82635498047
0,183;1,32522583008;4,83551025391
0,184;1,33724212646;4,83551025391
