Vastuskerroin,10 pot – edel,1-edellinen,,Mitattu arvo x10000,Mitattu arvo,Log mitattu arvo,(1+5/edel)*10000
0,1,0,Err:502,2890,0.289,1,183010.380622837
0.1,0.7943282347,0.2056717653,-0.6868253244,3406,0.3406,1.1785467128,156799.765120376
0.2,0.6309573445,0.3690426555,-0.4329234333,4158,0.4158,1.4387543253,130250.12025012
0.3,0.5011872336,0.4988127664,-0.3020624399,4619,0.4619,1.5982698962,118248.538644728
0.4,0.3981071706,0.6018928294,-0.2204808305,5405,0.5405,1.8702422145,102506.938020352
0.5,0.316227766,0.683772234,-0.1650885386,6251,0.6251,2.1629757785,89987.2020476724
0.6,0.2511886432,0.7488113568,-0.1256275775,7660,0.766,2.6505190311,75274.1514360313
0.7,0.1995262315,0.8004737685,-0.0966528953,8870,0.887,3.0692041522,66369.785794814
0.8,0.1584893192,0.8415106808,-0.0749403674,10350,1.035,3.5813148789,58309.1787439614
0.9,0.1258925412,0.8741074588,-0.0584351739,11510,1.151,3.9826989619,53440.4865334492
1,0.1,0.9,-0.0457574906,13860,1.386,4.7958477509,46075.0360750361
1.1,0.0794328235,0.9205671765,-0.0359445142,16170,1.617,5.5951557093,40921.4594928881
