Rate/(1/s)	Counts
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	1
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	1
52	1
53	0
54	0
55	0
56	1
57	0
58	0
59	0
60	1
61	0
62	3
63	1
64	1
65	0
66	3
67	0
68	2
69	0
70	0
71	1
72	1
73	1
74	1
75	2
76	2
77	0
78	0
79	1
80	1
81	2
82	0
83	1
84	0
85	0
86	1
87	0
88	2
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	1
101	0
102	0
103	1
104	1
105	1
106	1
107	0
108	1
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	1
117	0
118	0
119	0
120	0
121	0
122	1
123	0
124	0
125	1
126	0
127	1
128	3
129	0
130	0
131	0
132	0
133	0
134	1
135	0
136	1
137	1
138	0
139	2
140	0
141	1
142	0
143	0
144	0
145	1
146	2
147	1
148	0
149	0
150	0
151	1
152	2
153	0
154	0
155	0
156	1
157	3
158	0
159	1
160	3
161	1
162	0
163	0
164	1
165	1
166	1
167	1
168	3
169	0
170	0
171	1
172	0
173	1
174	2
175	0
176	1
177	0
178	0
179	1
180	0
181	0
182	2
183	0
184	1
185	0
186	2
187	0
188	0
189	0
190	1
191	0
192	0
193	2
194	0
195	0
196	0
197	1
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	1
206	1
207	1
208	0
209	0
210	0
211	1
212	0
213	0
214	2
215	0
216	0
217	3
218	3
219	1
220	4
221	1
222	0
223	2
224	2
225	2
226	5
227	0
228	1
229	3
230	7
231	5
232	5
233	6
234	2
235	4
236	6
237	4
238	12
239	7
240	11
241	6
242	10
243	9
244	9
245	11
246	13
247	5
248	5
249	7
250	10
251	9
252	4
253	5
254	7
255	14
256	7
257	13
258	8
259	10
260	8
261	9
262	6
263	11
264	10
265	3
266	9
267	9
268	5
269	3
270	12
271	5
272	6
273	7
274	5
275	11
276	0
277	3
278	3
279	5
280	3
281	3
282	4
283	7
284	5
285	3
286	5
287	6
288	2
289	7
290	1
291	3
292	2
293	4
294	3
295	2
296	3
297	3
298	1
299	3
300	3
301	5
302	1
303	4
304	1
305	2
306	3
307	0
308	4
309	3
310	1
311	0
312	0
313	1
314	1
315	2
316	1
317	3
318	1
319	0
320	2
321	4
322	2
323	1
324	0
325	1
326	1
327	1
328	1
329	0
330	0
331	0
332	1
333	1
334	1
335	1
336	1
337	0
338	1
339	0
340	0
341	2
342	1
343	0
344	1
345	1
346	0
347	2
348	0
349	2
350	0
351	1
352	1
353	1
354	0
355	0
356	0
357	0
358	1
359	0
360	0
361	0
362	1
363	0
364	1
365	0
366	0
367	1
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	1
376	0
377	1
378	0
379	0
380	1
381	0
382	0
383	0
384	0
385	0
386	1
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	1
402	0
403	0
404	0
405	0
406	0
407	1
408	0
409	1
410	0
411	0
412	1
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	1
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	1
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	1
461	1
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	1
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	1
506	0
507	0
508	0
509	0
510	0
511	0
512	0
513	0
514	0
515	0
516	0
517	0
518	0
519	0
520	0
521	0
522	0
523	0
524	1
525	0
526	0
527	0
528	0
529	0
530	0
531	0
532	0
533	0
534	0
535	0
536	0
537	0
538	0
539	0
540	0
541	0
542	0
543	0
544	0
545	0
546	0
547	0
548	1
549	0
550	0
551	0
552	0
553	1
554	0
555	0
556	0
557	0
558	0
559	0
560	0
561	0
562	0
563	0
564	0
565	0
566	0
567	0
568	0
569	0
570	0
571	0
572	0
573	0
574	0
575	0
576	0
577	0
578	0
579	0
580	0
581	0
582	0
583	0
584	0
585	0
586	0
587	0
588	0
589	0
590	0
591	0
592	1
593	0
594	0
595	0
596	0
597	1
598	0
599	0
600	0
601	0
602	0
603	0
604	0
605	0
606	0
607	0
608	0
609	0
610	0
611	0
612	0
613	0
614	0
615	0
616	0
617	0
618	0
619	0
620	0
621	0
622	0
623	0
624	0
625	0
626	0
627	0
628	0
629	0
630	0
631	0
632	0
633	0
634	0
635	0
636	0
637	0
638	0
639	0
640	0
641	0
642	0
643	0
644	0
645	0
646	0
647	0
648	0
649	0
650	0
651	0
652	0
653	0
654	0
655	0
656	0
657	0
658	0
659	0
660	0
661	1
662	0
663	0
664	0
665	0
666	0
667	0
668	0
669	0
670	0
671	0
672	0
673	0
674	0
675	0
676	0
677	0
678	0
679	0
680	0
681	0
682	0
683	1
684	0
685	0
686	0
687	0
688	1
689	0
