Time/(s)	Counts
0	66
1	72
2	128
3	64
4	76
5	62
6	88
7	125
8	66
9	62
10	79
11	88
12	105
13	63
14	86
15	66
16	106
17	75
18	139
19	164
20	469
21	401
22	688
23	524
24	505
25	683
26	553
27	597
28	592
29	461
30	661
31	409
32	548
33	386
34	241
35	100
36	51
37	60
38	40
39	68
40	81
41	52
42	108
43	62
44	56
45	74
46	71
47	68
48	122
49	128
50	104
51	217
52	246
53	255
54	291
55	238
56	294
57	259
58	242
59	232
60	293
61	262
62	270
63	306
64	259
65	294
66	250
67	270
68	250
69	275
70	322
71	289
72	259
73	274
74	226
75	286
76	243
77	267
78	265
79	248
80	238
81	275
82	231
83	273
84	275
85	259
86	237
87	263
88	239
89	255
90	251
91	266
92	250
93	244
94	243
95	300
96	317
97	270
98	246
99	264
100	272
101	256
102	279
103	261
104	317
105	272
106	323
107	230
108	274
109	246
110	234
111	336
112	270
113	271
114	248
115	313
116	260
117	237
118	267
119	268
120	259
121	287
122	279
123	263
124	267
125	320
126	252
127	266
128	232
129	301
130	377
131	238
132	264
133	277
134	242
135	255
136	364
137	261
138	251
139	253
140	255
141	252
142	220
143	303
144	247
145	214
146	251
147	292
148	239
149	275
150	261
151	296
152	246
153	258
154	262
155	264
156	305
157	280
158	260
159	347
160	246
161	300
162	273
163	258
164	246
165	240
166	257
167	246
168	244
169	251
170	220
171	257
172	283
173	310
174	334
175	271
176	240
177	247
178	224
179	449
180	267
181	248
182	265
183	269
184	245
185	251
186	252
187	255
188	309
189	226
190	255
191	286
192	246
193	242
194	258
195	259
196	232
197	240
198	247
199	306
200	272
201	270
202	277
203	281
204	281
205	287
206	249
207	239
208	344
209	259
210	283
211	264
212	260
213	243
214	266
215	257
216	297
217	242
218	272
219	260
220	287
221	261
222	236
223	238
224	301
225	262
226	289
227	233
228	236
229	226
230	289
231	250
232	241
233	289
234	245
235	301
236	263
237	218
238	257
239	407
240	351
241	358
242	303
243	256
244	265
245	263
246	412
247	230
248	258
249	249
250	283
251	232
252	275
253	279
254	236
255	239
256	275
257	264
258	266
259	259
260	245
261	240
262	242
263	260
264	233
265	285
266	236
267	275
268	254
269	259
270	256
271	275
272	243
273	308
274	290
275	245
276	299
277	287
278	229
279	303
280	262
281	273
282	308
283	244
284	309
285	266
286	309
287	249
288	240
289	274
290	301
291	246
292	299
293	273
294	305
295	238
296	277
297	345
298	268
299	267
300	263
301	245
302	322
303	220
304	242
305	321
306	238
307	261
308	255
309	240
310	264
311	231
312	256
313	283
314	242
315	254
316	254
317	289
318	298
319	242
320	279
321	254
322	285
323	255
324	262
325	333
326	247
327	280
328	274
329	332
330	228
331	260
332	270
333	315
334	244
335	256
336	315
337	273
338	273
339	250
340	240
341	261
342	250
343	224
344	234
345	257
346	243
347	338
348	273
349	249
350	271
351	257
352	263
353	263
354	270
355	230
356	232
357	284
358	278
359	238
360	243
361	283
362	225
363	300
364	263
365	245
366	327
367	233
368	255
369	244
370	362
371	239
372	241
373	284
374	267
375	321
376	248
377	352
378	272
379	263
380	218
381	283
382	341
383	226
384	257
385	267
386	270
387	289
388	261
389	233
390	249
391	245
392	291
393	295
394	270
395	297
396	235
397	275
398	285
399	225
400	266
401	246
402	235
403	288
404	231
405	230
406	283
407	245
408	296
409	341
410	243
411	271
412	219
413	221
414	380
415	253
416	267
417	245
418	268
419	306
420	278
421	252
422	268
423	266
424	269
425	342
426	291
427	251
428	259
429	275
430	251
431	274
432	242
433	261
434	244
435	230
436	235
437	284
438	264
439	279
440	321
441	289
442	239
443	264
444	237
445	230
446	260
447	231
448	255
449	294
450	270
451	258
452	299
453	251
454	230
455	286
456	223
457	260
458	257
459	293
460	233
461	245
462	220
463	282
464	257
465	223
466	272
467	239
468	257
469	250
470	249
471	287
472	321
473	217
474	241
475	255
476	253
477	248
478	218
479	238
480	264
481	284
482	257
483	271
484	254
485	325
486	258
487	460
488	246
489	263
490	286
491	240
492	263
493	229
494	317
495	266
496	296
497	254
498	235
499	256
500	250
501	233
502	217
503	349
504	295
505	282
506	326
507	275
508	256
509	238
510	302
511	335
512	308
513	316
514	282
515	244
516	250
517	261
518	320
519	282
520	293
521	236
522	304
523	278
524	266
525	441
526	253
527	288
528	238
529	231
530	280
531	255
532	262
533	245
534	314
535	255
536	246
537	255
538	241
539	244
540	243
541	270
542	308
543	375
544	353
545	287
546	268
547	211
548	240
549	226
550	349
551	240
552	318
553	240
554	246
555	328
556	293
557	286
558	244
559	257
560	270
561	347
562	242
563	303
564	249
565	292
566	258
567	301
568	284
569	297
570	267
571	269
572	247
573	243
574	229
575	257
576	238
577	251
578	236
579	264
580	253
581	281
582	258
583	103
584	127
585	76
586	81
587	73
588	80
589	83
590	75
591	116
592	171
593	128
594	152
595	214
596	168
597	197
598	173
599	367
600	193
601	186
602	161
603	186
604	174
605	146
606	151
607	146
608	159
609	156
610	184
611	160
612	182
613	137
614	141
615	145
616	168
617	176
618	136
619	166
620	165
621	190
622	157
623	152
624	179
625	167
626	134
627	168
628	157
629	160
630	139
631	160
632	157
633	237
634	174
635	238
636	182
637	206
638	147
639	207
640	241
641	254
642	193
643	205
644	250
