Height/(arb.u)	Counts
0	0
0.1	0
0.2	0
0.3	0
0.4	0
0.5	0
0.6	0
0.7	0
0.8	0
0.9	0
1	0
1.1	0
1.2	0
1.3	0
1.4	0
1.5	0
1.6	0
1.7	0
1.8	0
1.9	0
2	0
2.1	0
2.2	0
2.3	0
2.4	0
2.5	0
2.6	0
2.7	13234
2.8	9406
2.9	7092
3	5659
3.1	4749
3.2	4262
3.3	3856
3.4	3680
3.5	3442
3.6	3427
3.7	3245
3.8	3121
3.9	3053
4	2965
4.1	2931
4.2	2937
4.3	2779
4.4	2844
4.5	2807
4.6	2765
4.7	2702
4.8	2755
4.9	2701
5	2723
5.1	2764
5.2	2787
5.3	2759
5.4	2874
5.5	2873
5.6	2956
5.7	2805
5.8	2764
5.9	2848
6	2689
6.1	2644
6.2	2514
6.3	2408
6.4	2274
6.5	2201
6.6	2035
6.7	1894
6.8	1777
6.9	1613
7	1545
7.1	1337
7.2	1206
7.3	1150
7.4	996
7.5	932
7.6	834
7.7	711
7.8	705
7.9	597
8	538
8.1	509
8.2	445
8.3	353
8.4	354
8.5	342
8.6	289
8.7	279
8.8	255
8.9	264
9	247
9.1	208
9.2	194
9.3	176
9.4	182
9.5	165
9.6	159
9.7	125
9.8	163
9.9	114
10	133
10.1	111
10.2	94
10.3	82
10.4	94
10.5	91
10.6	70
10.7	76
10.8	70
10.9	74
11	62
11.1	48
11.2	66
11.3	38
11.4	54
11.5	40
11.6	28
11.7	43
11.8	32
11.9	21
12	23
12.1	27
12.2	21
12.3	19
12.4	20
12.5	16
12.6	12
12.7	18
12.8	15
12.9	15
13	7
13.1	12
13.2	17
13.3	6
13.4	3
13.5	8
13.6	4
13.7	3
13.8	6
13.9	4
14	1
14.1	5
14.2	5
14.3	4
14.4	4
14.5	2
14.6	4
14.7	2
14.8	4
14.9	2
15	0
15.1	8
15.2	2
15.3	3
15.4	0
15.5	0
15.6	2
15.7	1
15.8	2
15.9	0
16	0
16.1	1
16.2	1
16.3	1
16.4	1
16.5	0
16.6	2
16.7	2
16.8	3
16.9	0
17	1
17.1	1
17.2	0
17.3	1
17.4	1
17.5	0
17.6	0
17.7	0
17.8	0
17.9	0
18	0
18.1	0
18.2	0
18.3	0
18.4	0
18.5	1
18.6	0
18.7	0
18.8	0
18.9	0
19	0
19.1	0
19.2	1
19.3	0
19.4	0
19.5	0
19.6	0
19.7	0
19.8	0
19.9	0
20	0
20.1	1
20.2	0
20.3	0
20.4	0
20.5	0
20.6	0
20.7	0
20.8	0
20.9	0
21	0
21.1	0
21.2	0
21.3	0
21.4	0
21.5	0
21.6	0
21.7	0
21.8	0
21.9	0
22	0
22.1	0
22.2	1
22.3	0
22.4	0
22.5	0
22.6	0
22.7	0
22.8	0
22.9	0
23	0
23.1	0
23.2	0
23.3	0
23.4	0
23.5	0
23.6	0
23.7	0
23.8	0
