Rate/(1/s)	Counts
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	1
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	1
53	0
54	1
55	2
56	3
57	2
58	3
59	6
60	2
61	4
62	3
63	11
64	3
65	24
66	9
67	13
68	13
69	16
70	10
71	17
72	16
73	20
74	15
75	16
76	9
77	12
78	15
79	12
80	6
81	6
82	4
83	3
84	4
85	2
86	2
87	2
88	2
89	3
90	3
91	0
92	0
93	0
94	2
95	0
96	0
97	0
98	0
99	1
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	1
122	0
