Energy/(keV)	Counts
0	0
2.8783	0
5.7565	0
8.6348	0
11.513	0
14.3913	0
17.2696	0
20.1478	0
23.0261	0
25.9043	0
28.7826	0
31.6609	0
34.5391	0
37.4174	0
40.2957	0
43.1739	0
46.0522	0
48.9304	0
51.8087	0
54.687	0
57.5652	0
60.4435	0
63.3217	0
66.2	0
69.0783	0
71.9565	0
74.8348	0
77.713	0
80.5913	0
83.4696	0
86.3478	0
89.2261	0
92.1043	0
94.9826	0
97.8609	0
100.7391	0
103.6174	0
106.4957	0
109.3739	0
112.2522	0
115.1304	810
118.0087	734
120.887	728
123.7652	734
126.6435	729
129.5217	721
132.4	755
135.2783	706
138.1565	669
141.0348	654
143.913	672
146.7913	659
149.6696	680
152.5478	665
155.4261	654
158.3043	674
161.1826	649
164.0609	632
166.9391	593
169.8174	580
172.6957	523
175.5739	526
178.4522	457
181.3304	478
184.2087	464
187.087	397
189.9652	335
192.8435	358
195.7217	333
198.6	319
201.4783	320
204.3565	267
207.2348	249
210.113	244
212.9913	203
215.8696	173
218.7478	150
221.6261	176
224.5043	125
227.3826	155
230.2609	108
233.1391	116
236.0174	105
238.8957	93
241.7739	78
244.6522	82
247.5304	73
250.4087	68
253.287	61
256.1652	53
259.0435	48
261.9217	49
264.8	51
267.6783	50
270.5565	49
273.4348	42
276.313	37
279.1913	38
282.0696	31
284.9478	33
287.8261	39
290.7043	24
293.5826	26
296.4609	28
299.3391	24
302.2174	22
305.0957	17
307.9739	17
310.8522	17
313.7304	12
316.6087	15
319.487	13
322.3652	11
325.2435	13
328.1217	11
331	10
333.8783	11
336.7565	8
339.6348	7
342.513	3
345.3913	3
348.2696	4
351.1478	7
354.0261	5
356.9043	4
359.7826	3
362.6609	1
365.5391	3
368.4174	3
371.2957	5
374.1739	2
377.0522	3
379.9304	2
382.8087	0
385.687	3
388.5652	2
391.4435	1
394.3217	2
397.2	2
400.0783	0
402.9565	1
405.8348	0
408.713	3
411.5913	0
414.4696	1
417.3478	0
420.2261	0
423.1043	0
425.9826	0
428.8609	0
431.7391	1
434.6174	0
437.4957	0
440.3739	1
443.2522	3
446.1304	0
449.0087	0
451.887	1
454.7652	0
457.6435	1
460.5217	1
463.4	0
466.2783	0
469.1565	0
472.0348	0
474.913	0
477.7913	1
480.6696	0
483.5478	1
486.4261	0
489.3043	1
492.1826	0
495.0609	0
497.9391	0
500.8174	0
503.6957	0
506.5739	0
509.4522	0
512.3304	1
515.2087	0
518.087	0
520.9652	0
523.8435	0
526.7217	0
529.6	0
532.4783	0
535.3565	1
538.2348	0
541.113	1
543.9913	0
546.8696	0
549.7478	0
552.6261	0
555.5043	0
558.3826	0
561.2609	0
564.1391	0
567.0174	0
569.8957	0
572.7739	0
575.6522	0
578.5304	0
581.4087	0
584.287	0
587.1652	0
590.0435	0
592.9217	0
595.8	0
598.6783	0
601.5565	0
604.4348	0
607.313	0
610.1913	0
613.0696	0
615.9478	0
618.8261	0
621.7043	0
624.5826	0
627.4609	0
630.3391	0
633.2174	0
636.0957	0
638.9739	0
641.8522	0
644.7304	0
647.6087	0
650.487	0
653.3652	0
656.2435	0
659.1217	0
662	0
664.8783	0
667.7565	0
670.6348	0
673.513	0
676.3913	0
679.2696	0
682.1478	0
685.0261	0
687.9043	0
690.7826	0
693.6609	0
696.5391	0
699.4174	0
702.2957	0
705.1739	0
708.0522	0
710.9304	0
713.8087	0
716.687	0
719.5652	0
722.4435	0
725.3217	0
728.2	0
731.0783	0
733.9565	0
736.8348	0
739.713	0
742.5913	0
745.4696	0
748.3478	0
751.2261	0
754.1043	0
756.9826	0
759.8609	0
762.7391	0
765.6174	0
768.4957	0
771.3739	0
774.2522	0
777.1304	0
780.0087	0
782.887	0
785.7652	0
788.6435	0
791.5217	0
794.4	0
797.2783	0
800.1565	0
803.0348	0
805.913	0
808.7913	0
811.6696	0
814.5478	0
817.4261	0
820.3043	0
823.1826	0
826.0609	0
828.9391	0
831.8174	0
834.6957	0
837.5739	0
840.4522	0
843.3304	0
846.2087	0
849.087	0
851.9652	0
854.8435	0
857.7217	0
860.6	0
863.4783	0
866.3565	0
869.2348	0
872.113	0
874.9913	0
877.8696	0
880.7478	0
883.6261	0
886.5043	0
889.3826	0
892.2609	0
895.1391	0
898.0174	0
900.8957	0
903.7739	0
906.6522	0
909.5304	0
912.4087	0
915.287	0
918.1652	0
921.0435	0
923.9217	0
926.8	0
929.6783	0
932.5565	0
935.4348	0
938.313	0
941.1913	0
944.0696	0
946.9478	0
949.8261	0
952.7043	0
955.5826	0
958.4609	0
961.3391	0
964.2174	0
967.0957	0
969.9739	0
972.8522	0
975.7304	0
978.6087	0
981.487	0
984.3652	0
987.2435	0
990.1217	0
993	0
995.8783	0
998.7565	0
1001.6348	0
1004.513	0
1007.3913	0
1010.2696	0
1013.1478	0
1016.0261	0
1018.9043	0
1021.7826	0
1024.6609	0
1027.5391	0
1030.4174	0
1033.2957	0
1036.1739	0
1039.0522	0
1041.9304	0
1044.8087	0
1047.687	0
1050.5652	0
1053.4435	0
1056.3217	0
1059.2	0
1062.0783	0
1064.9565	0
1067.8348	0
1070.713	0
1073.5913	0
1076.4696	0
1079.3478	0
1082.2261	0
1085.1043	0
1087.9826	0
1090.8609	0
1093.7391	0
1096.6174	0
1099.4957	0
1102.3739	0
1105.2522	0
1108.1304	0
1111.0087	0
1113.887	0
1116.7652	0
1119.6435	0
1122.5217	0
1125.4	0
1128.2783	0
1131.1565	0
1134.0348	0
1136.913	0
1139.7913	0
1142.6696	0
1145.5478	0
1148.4261	0
1151.3043	0
1154.1826	0
1157.0609	0
1159.9391	0
1162.8174	0
1165.6957	0
1168.5739	0
1171.4522	0
1174.3304	0
1177.2087	0
1180.087	0
1182.9652	0
1185.8435	0
1188.7217	0
1191.6	0
1194.4783	0
1197.3565	0
1200.2348	0
1203.113	0
1205.9913	0
1208.8696	0
1211.7478	0
1214.6261	0
1217.5043	0
1220.3826	0
1223.2609	0
1226.1391	0
1229.0174	0
1231.8957	0
1234.7739	0
1237.6522	0
1240.5304	0
1243.4087	0
1246.287	0
1249.1652	0
1252.0435	0
1254.9217	0
1257.8	0
1260.6783	0
1263.5565	0
1266.4348	0
1269.313	0
1272.1913	0
1275.0696	0
1277.9478	0
1280.8261	0
1283.7043	0
1286.5826	0
1289.4609	0
1292.3391	0
1295.2174	0
1298.0957	0
1300.9739	0
1303.8522	0
1306.7304	0
1309.6087	0
1312.487	0
1315.3652	0
1318.2435	0
1321.1217	0
1324	0
1326.8783	0
1329.7565	0
1332.6348	0
1335.513	0
1338.3913	0
1341.2696	0
1344.1478	0
1347.0261	0
1349.9043	0
1352.7826	0
1355.6609	0
1358.5391	0
1361.4174	0
1364.2957	0
1367.1739	0
1370.0522	0
1372.9304	0
1375.8087	0
1378.687	0
1381.5652	0
1384.4435	0
1387.3217	0
1390.2	0
1393.0783	0
1395.9565	0
1398.8348	0
1401.713	0
1404.5913	0
1407.4696	0
1410.3478	0
1413.2261	0
1416.1043	0
1418.9826	0
1421.8609	0
1424.7391	0
1427.6174	0
1430.4957	0
1433.3739	0
1436.2522	0
1439.1304	0
1442.0087	0
1444.887	0
1447.7652	0
1450.6435	0
1453.5217	0
1456.4	0
1459.2783	0
1462.1565	0
1465.0348	1
1467.913	0
