Time/(s)	Counts
0	63
1	70
2	59
3	73
4	126
5	76
6	57
7	66
8	62
9	69
10	91
11	62
12	57
13	69
14	90
15	70
16	65
17	66
18	78
19	59
20	61
21	55
22	77
23	59
24	61
25	58
26	78
27	62
28	86
29	70
30	67
31	64
32	54
33	58
34	83
35	62
36	75
37	63
38	68
39	65
40	68
41	60
42	63
43	67
44	71
45	66
46	67
47	74
48	59
49	77
50	66
51	56
52	88
53	58
54	51
55	69
56	70
57	61
58	71
59	71
60	82
61	80
62	52
63	63
64	71
65	49
66	75
67	59
68	65
69	67
70	70
71	61
72	70
73	79
74	63
75	65
76	56
77	67
78	92
79	62
80	75
81	80
82	47
83	75
84	75
85	48
86	56
87	67
88	60
89	75
90	69
91	68
92	64
93	82
94	85
95	66
96	63
97	70
98	50
99	77
100	70
101	62
102	64
103	69
104	72
105	67
106	56
107	67
108	75
109	83
110	62
111	63
112	82
113	72
114	69
115	72
116	59
117	73
118	49
119	72
120	73
121	77
122	79
123	55
124	74
125	76
126	65
127	56
128	51
129	54
130	75
131	65
132	77
133	76
134	68
135	75
136	66
137	60
138	70
139	72
140	75
141	67
142	59
143	56
144	76
145	79
146	71
147	67
148	69
149	74
150	69
151	67
152	64
153	66
154	59
155	56
156	56
157	63
158	62
159	68
160	63
161	61
162	56
163	69
164	64
165	67
166	72
167	78
168	146
169	54
170	74
171	73
172	74
173	72
174	61
175	64
176	48
177	73
178	60
179	70
180	68
181	60
182	75
183	52
184	66
185	77
186	63
187	59
188	72
189	58
190	71
191	53
192	67
193	75
194	71
195	72
196	71
197	61
198	72
199	63
200	57
201	74
202	68
203	77
204	63
205	62
206	61
207	68
208	55
209	75
210	71
211	64
212	61
213	66
214	70
215	48
216	77
217	76
218	73
219	75
220	67
221	87
222	67
223	75
224	60
225	63
226	61
227	67
228	63
229	77
230	66
231	70
232	73
233	58
234	67
235	70
236	67
237	58
238	64
239	60
240	69
241	69
242	61
243	65
244	54
245	63
246	81
247	67
248	71
249	56
250	61
251	69
252	64
253	72
254	79
255	63
256	74
257	68
258	74
259	82
260	56
261	70
262	75
263	68
264	74
265	79
266	65
267	74
268	62
269	68
270	70
271	74
272	59
273	69
274	65
275	64
276	62
277	66
278	53
279	58
280	70
281	77
282	66
283	63
284	68
285	69
286	69
287	71
288	64
289	59
290	72
291	62
292	71
293	79
294	64
295	70
296	68
297	54
298	66
299	57
