Energy/(keV)	Counts
0	0
2.8783	0
5.7565	0
8.6348	0
11.513	0
14.3913	0
17.2696	0
20.1478	0
23.0261	0
25.9044	0
28.7826	0
31.6609	0
34.5391	0
37.4174	0
40.2957	0
43.1739	0
46.0522	0
48.9304	0
51.8087	0
54.687	0
57.5652	0
60.4435	0
63.3217	0
66.2	0
69.0783	0
71.9565	0
74.8348	0
77.7131	0
80.5913	0
83.4696	0
86.3478	0
89.2261	0
92.1044	0
94.9826	0
97.8609	0
100.7391	0
103.6174	0
106.4957	0
109.3739	0
112.2522	0
115.1305	939
118.0087	949
120.887	952
123.7652	890
126.6435	886
129.5218	857
132.4	842
135.2783	896
138.1565	879
141.0348	766
143.9131	787
146.7913	802
149.6696	783
152.5479	796
155.4261	748
158.3044	754
161.1826	744
164.0609	694
166.9392	682
169.8174	635
172.6957	591
175.5739	634
178.4522	578
181.3305	511
184.2087	521
187.087	475
189.9652	448
192.8435	387
195.7218	382
198.6	366
201.4783	338
204.3566	330
207.2348	260
210.1131	282
212.9913	246
215.8696	234
218.7479	200
221.6261	198
224.5044	170
227.3826	161
230.2609	129
233.1392	140
236.0174	131
238.8957	122
241.774	114
244.6522	85
247.5305	102
250.4087	95
253.287	77
256.1653	80
259.0435	89
261.9218	69
264.8	56
267.6783	52
270.5566	70
273.4348	37
276.3131	39
279.1914	36
282.0696	34
284.9479	44
287.8261	38
290.7044	30
293.5827	34
296.4609	25
299.3392	21
302.2174	30
305.0957	15
307.974	28
310.8522	22
313.7305	21
316.6087	15
319.487	16
322.3653	15
325.2435	9
328.1218	14
331.0001	7
333.8783	16
336.7566	8
339.6348	6
342.5131	7
345.3914	6
348.2696	9
351.1479	1
354.0261	3
356.9044	7
359.7827	4
362.6609	5
365.5392	3
368.4175	4
371.2957	2
374.174	4
377.0522	3
379.9305	2
382.8088	1
385.687	1
388.5653	3
391.4435	1
394.3218	1
397.2001	0
400.0783	3
402.9566	3
405.8348	0
408.7131	3
411.5914	0
414.4696	1
417.3479	0
420.2262	0
423.1044	0
425.9827	0
428.8609	0
431.7392	0
434.6175	0
437.4957	0
440.374	0
443.2522	0
446.1305	0
449.0088	1
451.887	0
454.7653	0
457.6436	0
460.5218	1
463.4001	0
466.2783	0
469.1566	0
472.0349	0
474.9131	0
477.7914	0
480.6696	1
483.5479	2
486.4262	0
489.3044	0
492.1827	0
495.061	0
497.9392	0
500.8175	1
503.6957	1
506.574	0
509.4523	0
512.3305	0
515.2088	1
518.087	0
520.9653	0
523.8436	0
526.7218	0
529.6001	1
532.4783	0
535.3566	0
538.2349	0
541.1131	0
543.9914	0
546.8697	0
549.7479	0
552.6262	0
555.5044	0
558.3827	0
561.261	0
564.1392	0
567.0175	0
569.8957	0
572.774	0
575.6523	0
578.5305	0
581.4088	0
584.2871	0
587.1653	0
590.0436	0
592.9218	0
595.8001	0
598.6784	0
601.5566	0
604.4349	0
607.3131	0
610.1914	0
613.0697	0
615.9479	0
618.8262	0
621.7045	0
624.5827	0
627.461	0
630.3392	0
633.2175	0
636.0958	0
638.974	0
641.8523	0
644.7305	0
647.6088	0
650.4871	0
653.3653	0
656.2436	0
659.1218	0
662.0001	0
664.8784	0
667.7566	0
670.6349	0
673.5132	0
676.3914	0
679.2697	0
682.1479	0
685.0262	0
687.9045	0
690.7827	0
693.661	0
696.5392	0
699.4175	0
702.2958	0
705.174	0
708.0523	0
710.9306	0
713.8088	0
716.6871	0
719.5653	0
722.4436	0
725.3219	0
728.2001	0
731.0784	0
733.9566	0
736.8349	0
739.7132	0
742.5914	0
745.4697	0
748.3479	0
751.2262	0
754.1045	0
756.9827	0
759.861	0
762.7393	0
765.6175	0
768.4958	0
771.374	0
774.2523	0
777.1306	0
780.0088	0
782.8871	0
785.7653	0
788.6436	0
791.5219	0
794.4001	0
797.2784	0
800.1567	0
803.0349	0
805.9132	0
808.7914	0
811.6697	0
814.548	0
817.4262	0
820.3045	0
823.1827	0
826.061	0
828.9393	0
831.8175	0
834.6958	0
837.5741	0
840.4523	0
843.3306	0
846.2088	0
849.0871	0
851.9654	0
854.8436	0
857.7219	0
860.6001	0
863.4784	0
866.3567	0
869.2349	0
872.1132	0
874.9914	0
877.8697	0
880.748	0
883.6262	0
886.5045	0
889.3828	0
892.261	0
895.1393	0
898.0175	0
900.8958	0
903.7741	0
906.6523	0
909.5306	0
912.4088	0
915.2871	0
918.1654	0
921.0436	0
923.9219	0
926.8002	0
929.6784	0
932.5567	0
935.4349	0
938.3132	0
941.1915	0
944.0697	1
946.948	0
949.8262	0
952.7045	0
955.5828	0
958.461	0
961.3393	0
964.2175	0
967.0958	0
969.9741	0
972.8523	0
975.7306	0
978.6089	0
981.4871	0
984.3654	0
987.2436	0
990.1219	0
993.0002	0
995.8784	0
998.7567	0
1001.6349	0
1004.5132	0
1007.3915	0
1010.2697	0
1013.148	0
1016.0263	0
1018.9045	0
1021.7828	0
1024.661	0
1027.5393	0
1030.4176	0
1033.2958	0
1036.1741	0
1039.0523	0
1041.9306	0
1044.8089	0
1047.6871	0
1050.5654	0
1053.4437	0
1056.3219	0
1059.2002	0
1062.0784	1
1064.9567	0
1067.835	0
1070.7132	0
1073.5915	0
1076.4697	0
1079.348	0
1082.2263	0
1085.1045	0
1087.9828	0
1090.861	0
1093.7393	0
1096.6176	0
1099.4958	0
1102.3741	0
1105.2524	0
1108.1306	0
1111.0089	0
1113.8871	0
1116.7654	0
1119.6437	0
1122.5219	0
1125.4002	0
1128.2784	0
1131.1567	0
1134.035	0
1136.9132	0
1139.7915	0
1142.6698	0
1145.548	0
1148.4263	0
1151.3045	0
1154.1828	0
1157.0611	0
1159.9393	0
1162.8176	0
1165.6958	0
1168.5741	0
1171.4524	0
1174.3306	0
1177.2089	0
1180.0872	0
1182.9654	0
1185.8437	0
1188.7219	0
1191.6002	0
1194.4785	0
1197.3567	0
1200.235	0
1203.1132	0
1205.9915	0
1208.8698	0
1211.748	0
1214.6263	0
1217.5045	0
1220.3828	0
1223.2611	0
1226.1393	0
1229.0176	0
1231.8959	0
1234.7741	0
1237.6524	1
1240.5306	0
1243.4089	0
1246.2872	0
1249.1654	0
1252.0437	0
1254.9219	0
1257.8002	0
1260.6785	0
1263.5567	0
1266.435	0
1269.3133	0
1272.1915	0
1275.0698	0
1277.948	0
1280.8263	0
1283.7046	0
1286.5828	0
1289.4611	0
1292.3393	0
1295.2176	0
1298.0959	0
1300.9741	0
1303.8524	0
1306.7306	0
1309.6089	0
1312.4872	0
1315.3654	0
1318.2437	0
1321.122	0
1324.0002	0
1326.8785	0
1329.7567	0
1332.635	0
1335.5133	0
1338.3915	0
1341.2698	0
1344.148	0
1347.0263	0
1349.9046	0
1352.7828	0
1355.6611	0
1358.5394	0
1361.4176	0
1364.2959	0
1367.1741	0
1370.0524	0
1372.9307	0
1375.8089	0
1378.6872	0
1381.5654	0
1384.4437	0
1387.322	0
1390.2002	0
1393.0785	0
1395.9568	0
1398.835	0
1401.7133	0
1404.5915	0
1407.4698	1
1410.3481	0
1413.2263	0
1416.1046	0
1418.9828	0
1421.8611	0
1424.7394	0
1427.6176	0
1430.4959	0
1433.3741	0
1436.2524	0
1439.1307	0
1442.0089	0
1444.8872	0
1447.7655	0
1450.6437	0
1453.522	0
1456.4002	1
1459.2785	0
