Rate/(1/s)	Counts
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	2
35	0
36	1
37	0
38	3
39	3
40	3
41	6
42	1
43	6
44	7
45	15
46	12
47	10
48	14
49	20
50	20
51	23
52	21
53	20
54	19
55	18
56	24
57	15
58	12
59	21
60	17
61	18
62	9
63	12
64	8
65	8
66	6
67	3
68	3
69	3
70	5
71	2
72	2
73	3
74	0
75	0
76	0
77	0
78	1
79	0
80	0
81	0
82	0
83	1
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	2
99	0
