Time/(s)	Counts
0	48
1	55
2	56
3	51
4	62
5	63
6	52
7	60
8	60
9	59
10	62
11	59
12	58
13	49
14	52
15	50
16	64
17	46
18	57
19	50
20	61
21	64
22	58
23	49
24	60
25	52
26	73
27	55
28	47
29	66
30	53
31	36
32	61
33	50
34	49
35	54
36	58
37	60
38	70
39	66
40	98
41	63
42	65
43	56
44	57
45	62
46	45
47	56
48	45
49	52
50	53
51	59
52	65
53	52
54	50
55	51
56	64
57	50
58	50
59	52
60	51
61	48
62	54
63	34
64	66
65	64
66	48
67	46
68	60
69	52
70	53
71	43
72	59
73	51
74	67
75	50
76	83
77	56
78	49
79	56
80	59
81	61
82	57
83	64
84	50
85	63
86	52
87	55
88	44
89	45
90	71
91	58
92	42
93	51
94	54
95	45
96	51
97	61
98	64
99	56
100	46
101	61
102	63
103	53
104	55
105	52
106	53
107	49
108	54
109	45
110	98
111	49
112	57
113	54
114	43
115	52
116	51
117	53
118	57
119	41
120	45
121	58
122	46
123	50
124	50
125	53
126	58
127	47
128	56
129	51
130	64
131	56
132	59
133	58
134	55
135	58
136	61
137	54
138	61
139	45
140	49
141	46
142	51
143	54
144	51
145	54
146	52
147	49
148	50
149	48
150	52
151	70
152	40
153	44
154	52
155	46
156	78
157	55
158	57
159	53
160	51
161	53
162	59
163	49
164	41
165	49
166	68
167	61
168	54
169	56
170	41
171	68
172	40
173	53
174	63
175	65
176	61
177	55
178	48
179	51
180	63
181	55
182	67
183	59
184	57
185	59
186	68
187	43
188	71
189	54
190	47
191	56
192	59
193	60
194	55
195	46
196	60
197	60
198	66
199	56
200	45
201	46
202	70
203	56
204	51
205	60
206	65
207	54
208	48
209	52
210	49
211	65
212	50
213	50
214	53
215	53
216	65
217	46
218	64
219	73
220	51
221	51
222	50
223	62
224	66
225	47
226	57
227	51
228	60
229	61
230	52
231	48
232	48
233	56
234	59
235	53
236	58
237	59
238	58
239	69
240	54
241	54
242	53
243	63
244	52
245	62
246	54
247	72
248	38
249	56
250	50
251	63
252	59
253	61
254	47
255	38
256	59
257	70
258	48
259	69
260	48
261	56
262	49
263	50
264	52
265	49
266	69
267	40
268	56
269	59
270	56
271	51
272	53
273	63
274	44
275	51
276	48
277	43
278	51
279	47
280	59
281	56
282	50
283	55
284	65
285	53
286	43
287	57
288	61
289	57
290	51
291	44
292	59
293	51
294	55
295	47
296	49
297	41
298	41
299	55
300	56
301	63
302	66
303	61
304	39
305	34
306	61
307	50
308	55
309	52
310	45
311	60
312	55
313	46
314	56
315	57
316	61
317	57
318	57
319	57
320	41
321	49
322	62
323	44
324	49
325	60
326	60
327	58
328	54
329	59
330	60
331	44
332	53
333	63
334	53
335	48
336	55
337	45
338	49
339	47
340	56
341	72
342	45
343	52
344	50
345	53
346	45
347	54
348	47
349	39
350	46
351	61
352	70
353	54
354	46
355	54
356	63
357	62
358	43
359	62
360	60
361	45
362	55
363	47
364	60
365	52
366	56
367	50
368	55
369	59
370	48
371	49
372	59
373	56
374	53
375	59
376	62
377	51
378	45
379	58
380	49
381	49
382	57
383	73
384	55
385	65
386	54
387	67
388	61
389	38
390	44
391	45
392	51
393	60
394	56
395	52
396	39
397	61
398	48
