Time/(s)	Counts
0	21
1	39
2	33
3	30
4	36
5	35
6	35
7	32
8	28
9	34
10	31
11	43
12	34
13	28
14	38
15	43
16	38
17	34
18	32
19	34
20	26
21	35
22	39
23	26
24	29
25	26
26	30
27	28
28	26
29	38
30	42
31	34
32	27
33	38
34	44
35	37
36	44
37	33
38	27
39	36
40	35
41	28
42	36
43	39
44	33
45	33
46	38
47	29
48	110
49	25
50	34
51	32
52	25
53	32
54	33
55	45
56	27
57	26
58	28
59	30
60	25
61	45
62	30
63	34
64	36
65	29
66	41
67	37
68	36
69	37
70	28
71	40
72	28
73	41
74	34
75	25
76	30
77	35
78	36
79	23
80	25
81	29
82	17
83	35
84	37
85	35
86	40
87	29
88	43
89	85
90	32
91	23
92	28
93	30
94	23
95	36
96	26
97	45
98	23
99	34
100	47
101	41
102	32
103	38
104	43
105	32
106	32
107	28
108	27
109	26
110	38
111	89
112	29
113	46
114	33
115	38
116	32
117	25
118	26
119	32
120	31
121	33
122	34
123	21
124	31
125	32
126	42
127	35
128	23
129	25
130	32
131	29
132	30
133	28
134	38
135	34
136	47
137	38
138	49
139	34
140	35
141	40
142	35
143	35
144	36
145	34
146	36
147	21
148	32
149	33
150	25
151	37
152	37
153	34
154	31
155	27
156	24
157	32
158	25
159	34
160	38
161	42
162	44
163	38
164	40
165	38
166	37
167	23
168	35
169	26
170	20
171	30
172	71
173	30
174	39
175	25
176	37
177	24
178	29
179	22
180	49
181	34
182	39
183	26
184	33
185	38
186	31
187	36
188	20
189	32
190	30
191	30
192	36
193	25
194	27
195	27
196	28
197	31
198	35
199	27
200	31
201	37
202	32
203	33
204	32
205	18
206	37
207	21
208	40
209	34
210	22
211	23
212	36
213	33
214	35
215	33
216	33
217	43
218	46
219	110
220	32
221	37
222	34
223	32
224	23
225	34
226	45
227	35
228	28
229	33
230	39
231	39
232	48
233	31
234	27
235	33
236	33
237	39
238	25
239	37
240	33
241	27
242	36
243	36
244	37
245	28
246	31
247	42
248	37
249	49
250	24
251	39
252	32
253	25
254	30
255	33
256	41
257	29
258	41
259	36
260	32
261	29
262	40
263	34
264	27
265	44
266	32
267	29
268	26
269	29
270	19
271	33
272	45
273	47
274	34
275	40
276	37
277	23
278	36
279	38
280	38
281	28
282	38
283	32
284	30
285	40
286	35
287	42
288	24
289	27
290	29
291	26
292	28
293	37
294	34
295	37
296	31
297	32
298	37
299	40
300	32
301	30
302	32
303	25
304	33
305	27
306	42
307	31
308	23
309	38
310	35
311	31
312	28
313	50
314	35
315	41
316	35
317	24
318	31
319	34
320	26
321	31
322	27
323	36
324	29
325	28
326	35
327	44
328	25
329	17
330	32
331	31
332	23
333	37
334	32
335	43
336	23
337	102
338	35
339	34
340	41
341	30
342	22
343	39
344	25
345	30
346	33
347	32
348	44
349	30
350	24
351	31
352	29
353	31
354	32
355	30
356	36
357	38
358	30
359	37
360	33
361	39
362	31
363	32
364	38
365	35
366	26
367	33
368	47
369	37
370	31
371	32
372	43
373	33
374	30
375	31
376	33
377	40
378	27
379	35
380	30
381	25
382	39
383	42
384	20
385	32
386	35
387	36
388	33
389	30
390	48
391	31
392	43
393	45
394	32
395	25
396	29
397	29
398	39
399	34
