Time/(s)	Counts
0	16433
1	16789
2	16594
3	15852
4	17221
5	15674
6	16348
7	16564
8	17004
9	16655
10	16199
11	16672
12	16134
13	16172
14	15986
15	16864
16	16033
17	16983
18	17034
19	16187
20	16311
21	16161
22	16554
23	16455
24	15748
25	16845
26	17623
27	15505
28	16414
29	15474
30	16399
31	16674
32	16325
33	16182
34	16828
35	17342
36	16089
37	17113
38	17069
39	16005
40	16749
41	16590
42	16840
43	16559
44	17179
45	17420
46	16454
47	17281
48	16722
49	16103
50	16658
51	16610
52	15318
53	16675
54	16397
55	16949
56	16157
57	15630
58	17403
59	16690
