Height/(arb.u)	Counts
0	6565
0.005	6595
0.01	6532
0.015	6398
0.02	6366
0.025	6291
0.03	6414
0.035	6317
0.04	6218
0.045	6276
0.05	6127
0.055	6071
0.06	5944
0.065	5901
0.07	5966
0.075	5798
0.08	5822
0.085	5753
0.09	5682
0.095	5589
0.1	5519
0.105	5581
0.11	5374
0.115	5438
0.12	5407
0.125	5256
0.13	5297
0.135	5190
0.14	5083
0.145	5029
0.15	5050
0.155	4956
0.16	4950
0.165	4902
0.17	4885
0.175	4855
0.18	4793
0.185	4688
0.19	4784
0.195	4697
0.2	4596
0.205	4563
0.21	4503
0.215	4531
0.22	4469
0.225	4470
0.23	4388
0.235	4469
0.24	4305
0.245	4392
0.25	4136
0.255	4372
0.26	4158
0.265	4183
0.27	4243
0.275	4152
0.28	4252
0.285	4232
0.29	4121
0.295	4184
0.3	4133
0.305	3956
0.31	3937
0.315	4031
0.32	4086
0.325	4029
0.33	4219
0.335	4056
0.34	4041
0.345	4035
0.35	4064
0.355	4108
0.36	3976
0.365	4073
0.37	3922
0.375	4000
0.38	4111
0.385	3992
0.39	3972
0.395	4112
0.4	4093
0.405	4199
0.41	4109
0.415	4179
0.42	4086
0.425	4172
0.43	4107
0.435	4078
0.44	4130
0.445	4181
0.45	4149
0.455	4118
0.46	4102
0.465	4054
0.47	4233
0.475	4186
0.48	4268
0.485	4249
0.49	4231
0.495	4250
0.5	4156
0.505	4236
0.51	4267
0.515	4241
0.52	4260
0.525	4247
0.53	4291
0.535	4261
0.54	4312
0.545	4294
0.55	4244
0.555	4353
0.56	4339
0.565	4401
0.57	4326
0.575	4421
0.58	4250
0.585	4378
0.59	4322
0.595	4294
0.6	4440
0.605	4418
0.61	4405
0.615	4341
0.62	4414
0.625	4393
0.63	4361
0.635	4454
0.64	4365
0.645	4471
0.65	4289
0.655	4281
0.66	4326
0.665	4424
0.67	4394
0.675	4400
0.68	4338
0.685	4279
0.69	4333
0.695	4338
0.7	4289
0.705	4311
0.71	4233
0.715	4224
0.72	4334
0.725	4115
0.73	4168
0.735	4189
0.74	4134
0.745	4091
0.75	4085
0.755	4152
0.76	4027
0.765	4131
0.77	4072
0.775	3994
0.78	4000
0.785	3928
0.79	3975
0.795	3777
0.8	3978
0.805	4021
0.81	3921
0.815	3830
0.82	3816
0.825	3710
0.83	3751
0.835	3705
0.84	3667
0.845	3631
0.85	3636
0.855	3615
0.86	3487
0.865	3586
0.87	3466
0.875	3404
0.88	3415
0.885	3341
0.89	3332
0.895	3292
0.9	3253
0.905	3286
0.91	3209
0.915	3212
0.92	3150
0.925	3166
0.93	3049
0.935	3060
0.94	2992
0.945	2993
0.95	2884
0.955	2926
0.96	2920
0.965	2867
0.97	2743
0.975	2696
0.98	2698
0.985	2669
0.99	2717
0.995	2618
1	2513
1.005	2554
1.01	2493
1.015	2471
1.02	2377
1.025	2355
1.03	2333
1.035	2353
1.04	2351
1.045	2147
1.05	2214
1.055	2139
1.06	2120
1.065	2049
1.07	2097
1.075	2056
1.08	1985
1.085	1925
1.09	1876
1.095	1835
1.1	1866
1.105	1821
1.11	1784
1.115	1737
1.12	1734
1.125	1685
1.13	1636
1.135	1582
1.14	1635
1.145	1662
1.15	1596
1.155	1518
1.16	1477
1.165	1408
1.17	1355
1.175	1426
1.18	1442
1.185	1324
1.19	1304
1.195	1348
1.2	1263
1.205	1249
1.21	1278
1.215	1186
1.22	1188
1.225	1123
1.23	1152
1.235	1079
1.24	1048
1.245	1094
1.25	1020
1.255	985
1.26	977
1.265	938
1.27	965
1.275	935
1.28	885
1.285	888
1.29	825
1.295	825
1.3	870
1.305	840
1.31	822
1.315	791
1.32	759
1.325	743
1.33	768
1.335	662
1.34	690
1.345	706
1.35	693
1.355	653
1.36	647
1.365	564
1.37	574
1.375	606
1.38	596
1.385	569
1.39	530
1.395	514
1.4	566
1.405	537
1.41	453
1.415	480
1.42	456
1.425	487
1.43	436
1.435	453
1.44	436
1.445	417
1.45	427
1.455	425
1.46	404
1.465	344
1.47	365
1.475	380
1.48	348
1.485	379
1.49	388
1.495	337
1.5	343
1.505	340
1.51	292
1.515	286
1.52	257
1.525	320
1.53	267
1.535	231
1.54	254
1.545	271
1.55	252
1.555	244
1.56	235
1.565	205
1.57	227
1.575	205
1.58	216
1.585	242
1.59	213
1.595	206
1.6	200
1.605	182
1.61	222
1.615	191
1.62	198
1.625	174
1.63	166
1.635	179
1.64	158
1.645	165
1.65	152
1.655	165
1.66	134
1.665	153
1.67	114
1.675	129
1.68	143
1.685	152
1.69	141
1.695	129
1.7	133
1.705	116
1.71	122
1.715	121
1.72	117
1.725	114
1.73	113
1.735	112
1.74	88
1.745	108
1.75	108
1.755	67
1.76	88
1.765	92
1.77	76
1.775	84
1.78	72
1.785	86
1.79	82
1.795	79
1.8	74
1.805	76
1.81	80
1.815	74
1.82	69
1.825	59
