Time/(s)	Counts
0	16222
1	16999
2	16266
3	16838
4	15841
5	16265
6	16224
7	16796
8	15308
9	16285
10	15678
11	16924
12	16590
13	16411
14	15555
15	17342
16	16714
17	16406
18	15407
19	17839
20	17145
21	16985
22	17124
23	16203
24	16754
25	16678
26	16369
27	17058
28	15058
29	17009
30	16600
31	16069
32	15626
33	12704
34	13940
35	13489
36	13704
37	13864
38	13547
39	14360
40	13533
41	13504
42	15041
43	14562
44	14190
45	14515
46	14402
47	14585
48	14006
49	14800
50	14061
51	14499
52	13810
53	14018
54	13620
55	14564
56	14100
57	13671
58	14662
59	13745
