Height/(arb.u)	Counts
0	6763
0.005	6744
0.01	6648
0.015	6622
0.02	6553
0.025	6566
0.03	6516
0.035	6464
0.04	6451
0.045	6394
0.05	6258
0.055	6159
0.06	6157
0.065	6092
0.07	6052
0.075	5850
0.08	5827
0.085	5830
0.09	5723
0.095	5743
0.1	5771
0.105	5723
0.11	5488
0.115	5386
0.12	5454
0.125	5507
0.13	5579
0.135	5163
0.14	5106
0.145	5126
0.15	5364
0.155	5186
0.16	5146
0.165	5002
0.17	4932
0.175	4959
0.18	4950
0.185	4716
0.19	4763
0.195	4769
0.2	4733
0.205	4593
0.21	4784
0.215	4576
0.22	4715
0.225	4706
0.23	4464
0.235	4442
0.24	4401
0.245	4452
0.25	4402
0.255	4348
0.26	4378
0.265	4187
0.27	4248
0.275	4234
0.28	4145
0.285	4355
0.29	4140
0.295	4095
0.3	4158
0.305	4177
0.31	4121
0.315	4075
0.32	4035
0.325	4052
0.33	4057
0.335	3953
0.34	4110
0.345	4007
0.35	3937
0.355	3983
0.36	4058
0.365	3996
0.37	3991
0.375	4008
0.38	3934
0.385	3890
0.39	3977
0.395	3996
0.4	3958
0.405	3938
0.41	3950
0.415	4030
0.42	3905
0.425	3897
0.43	3872
0.435	3921
0.44	3896
0.445	3964
0.45	3948
0.455	3990
0.46	3940
0.465	4032
0.47	3957
0.475	3980
0.48	3923
0.485	3967
0.49	3937
0.495	3961
0.5	3892
0.505	3984
0.51	3916
0.515	3975
0.52	4023
0.525	3969
0.53	3937
0.535	3970
0.54	3963
0.545	3808
0.55	3986
0.555	3841
0.56	3971
0.565	3957
0.57	3930
0.575	3927
0.58	3964
0.585	3776
0.59	3934
0.595	3929
0.6	3890
0.605	3926
0.61	3884
0.615	3832
0.62	3867
0.625	3833
0.63	3830
0.635	3855
0.64	3907
0.645	3708
0.65	3786
0.655	3685
0.66	3842
0.665	3828
0.67	3810
0.675	3725
0.68	3722
0.685	3761
0.69	3645
0.695	3645
0.7	3635
0.705	3579
0.71	3610
0.715	3613
0.72	3478
0.725	3588
0.73	3409
0.735	3524
0.74	3519
0.745	3494
0.75	3508
0.755	3527
0.76	3370
0.765	3420
0.77	3313
0.775	3283
0.78	3272
0.785	3276
0.79	3274
0.795	3355
0.8	3254
0.805	3251
0.81	3180
0.815	3134
0.82	3110
0.825	3107
0.83	3106
0.835	2995
0.84	2992
0.845	2952
0.85	3016
0.855	2830
0.86	2974
0.865	2833
0.87	2893
0.875	2812
0.88	2704
0.885	2769
0.89	2730
0.895	2717
0.9	2708
0.905	2625
0.91	2660
0.915	2543
0.92	2571
0.925	2590
0.93	2512
0.935	2422
0.94	2398
0.945	2454
0.95	2357
0.955	2290
0.96	2311
0.965	2260
0.97	2193
0.975	2253
0.98	2187
0.985	2105
0.99	2073
0.995	2136
1	2073
1.005	2073
1.01	2077
1.015	1955
1.02	2056
1.025	1962
1.03	1892
1.035	1827
1.04	1891
1.045	1860
1.05	1790
1.055	1826
1.06	1761
1.065	1707
1.07	1668
1.075	1581
1.08	1602
1.085	1573
1.09	1570
1.095	1570
1.1	1523
1.105	1505
1.11	1549
1.115	1487
1.12	1478
1.125	1400
1.13	1362
1.135	1378
1.14	1340
1.145	1284
1.15	1267
1.155	1251
1.16	1247
1.165	1214
1.17	1188
1.175	1201
1.18	1075
1.185	1103
1.19	1168
1.195	1089
1.2	1062
1.205	1096
1.21	1014
1.215	1022
1.22	959
1.225	940
1.23	950
1.235	930
1.24	947
1.245	952
1.25	897
1.255	881
1.26	906
1.265	821
1.27	841
1.275	816
1.28	790
1.285	730
1.29	754
1.295	735
1.3	695
1.305	716
1.31	684
1.315	666
1.32	694
1.325	644
1.33	643
1.335	628
1.34	643
1.345	590
1.35	584
1.355	585
1.36	600
1.365	602
1.37	553
1.375	492
1.38	530
1.385	535
1.39	458
1.395	475
1.4	459
1.405	477
1.41	459
1.415	465
1.42	452
1.425	471
1.43	417
1.435	445
1.44	425
1.445	393
1.45	388
1.455	330
1.46	384
1.465	357
1.47	325
1.475	360
1.48	322
1.485	336
1.49	327
1.495	338
1.5	308
1.505	330
1.51	321
1.515	263
1.52	293
1.525	304
1.53	253
1.535	260
1.54	270
1.545	263
1.55	217
1.555	241
1.56	233
1.565	246
1.57	234
1.575	239
1.58	200
1.585	218
1.59	216
1.595	189
1.6	166
1.605	188
1.61	205
1.615	168
1.62	160
1.625	178
1.63	157
1.635	172
1.64	171
1.645	145
1.65	143
1.655	137
1.66	167
1.665	151
1.67	153
1.675	143
1.68	132
1.685	136
1.69	112
1.695	131
1.7	144
1.705	125
1.71	121
1.715	112
1.72	133
1.725	115
1.73	108
1.735	109
1.74	83
1.745	90
1.75	100
1.755	103
1.76	99
1.765	98
1.77	90
1.775	79
1.78	83
1.785	86
1.79	88
1.795	84
1.8	68
1.805	77
1.81	62
1.815	73
1.82	75
1.825	61
1.83	61
1.835	59
1.84	56
1.845	61
1.85	71
1.855	61
1.86	62
1.865	55
1.87	56
1.875	56
1.88	58
1.885	62
1.89	44
1.895	54
1.9	47
1.905	55
1.91	56
1.915	47
1.92	51
1.925	43
1.93	42
1.935	59
1.94	48
1.945	46
1.95	56
1.955	42
1.96	44
1.965	39
1.97	46
1.975	33
1.98	43
1.985	30
1.99	31
1.995	28
2	30
2.005	29
2.01	41
2.015	35
2.02	44
2.025	30
2.03	38
2.035	26
2.04	38
2.045	36
2.05	34
2.055	26
2.06	36
2.065	28
2.07	34
2.075	23
2.08	26
2.085	27
2.09	26
2.095	29
2.1	31
2.105	27
2.11	20
2.115	31
2.12	29
2.125	24
2.13	22
2.135	29
2.14	28
2.145	32
2.15	21
2.155	20
2.16	19
2.165	16
2.17	22
2.175	26
2.18	16
2.185	25
2.19	20
2.195	21
2.2	19
2.205	18
2.21	19
2.215	13
2.22	21
2.225	11
2.23	23
2.235	22
2.24	23
2.245	11
2.25	18
2.255	15
2.26	13
2.265	20
2.27	15
2.275	14
2.28	25
2.285	18
2.29	23
2.295	20
2.3	19
2.305	14
2.31	11
2.315	8
2.32	12
2.325	20
2.33	20
2.335	26
2.34	14
2.345	18
2.35	11
2.355	15
2.36	17
2.365	18
2.37	15
2.375	10
2.38	8
2.385	26
2.39	18
2.395	13
2.4	10
2.405	12
2.41	10
2.415	11
2.42	15
2.425	21
2.43	18
2.435	12
2.44	13
2.445	17
2.45	4
2.455	14
2.46	20
2.465	20
2.47	12
2.475	8
2.48	13
2.485	12
2.49	16
2.495	15
2.5	11
2.505	8
2.51	14
2.515	7
2.52	10
2.525	17
2.53	18
2.535	13
2.54	13
2.545	3
2.55	11
2.555	10
2.56	12
2.565	13
2.57	16
2.575	10
2.58	14
2.585	10
2.59	6
2.595	10
