"Hypotenuusa, pöydän reunalta, laseriin, x-z akselissa","rauta pöydän kulmasta, x akselissa","rauta pöydän kulmasta, y akselissa","rauta pöydän kulmasta, z akselissa","laser pöydän kulmasta, x akselissa","laser pöydän kulmasta, y akselissa","laser pöydän kulmasta, z akselissa","Etäisyys seinään x, eli pöyän pituus",Seinän y etäisyys,Mittauspisteen korkeus z-ssa,viivan etäisyys raudan päädystä,Rautaan osuvaan viivan hajonta,Seinään projisoituneen halkaisija,Amplitudi*0.5*tämä sarake
30,39.5,16,16.3,18.5,16.4,23.5,200.2,16.4,72.5,0.5,1,1.2,0
,,,,,,,,,,,,1.8,0.5
,,,,,,,,,,,,5.4,1
,,,,,,,,,,,,9.3,1.5
30.2,,,,16.5,15.5,,,,73.3,1.5,1,0.8,0
,,,,,,,,,,,,1.6,0.5
,,,,,,,,,,,,5,1
,,,,,,,,,,,,9,1.5
29,,,,15.3,16,,,15.3,74,2.5,1,0.75,0
,,,,,,,,,,,,1.2,0.5
,,,,,,,,,,,,5,1
,,,,,,,,,,,,9.2,1.5
28,,,,13.2,16,,,14.9,74.5,3.9,1.2,1.2,0
,,,,,,,,,,,,1.2,0.5
,,,,,,,,,,,,5.6,1
,,,,,,,,,,,,8.6,1.5
26,,,,13,16,,,14.4,74.8,5,1.1,0.7,0
,,,,,,,,,,,,1.33,0.5
,,,,,,,,,,,,4.13,1
,,,,,,,,,,,,7.4,1.5
26.4,,,,11.2,16.4,,,14.5,75.5,6.5,1.2,0.7,0
,,,,,,,,,,,,0.8,0.5
,,,,,,,,,,,,3.8,1
,,,,,,,,,,,,5.93,1.5
25.5,,,,10.7,16.1,,,14.4,76.5,7.7,1.2,0.8,0
,,,,,,,,,,,,0.8,0.5
,,,,,,,,,,,,2.3,1
,,,,,,,,,,,,4.78,1.5
24.7,,,,8.5,16,,,14.4,74.2,8.78,1.03,0.54,0
,,,,,,,,,,,,0.54,0.5
,,,,,,,,,,,,1.77,1
,,,,,,,,,,,,2.6,1.5
